
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        128, Nsync-hyd:        128
Sync-Point 84, TimeBin=19, Time: 0.551758, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 85, TimeBin=19, Time: 0.556641, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 86, TimeBin=19, Time: 0.561523, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 87, TimeBin=19, Time: 0.566406, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 88, TimeBin=19, Time: 0.571289, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 89, TimeBin=19, Time: 0.576172, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 90, TimeBin=19, Time: 0.581055, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 91, TimeBin=19, Time: 0.585938, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 92, TimeBin=19, Time: 0.59082, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 93, TimeBin=19, Time: 0.595703, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 94, TimeBin=19, Time: 0.600586, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 95, TimeBin=19, Time: 0.605469, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 96, TimeBin=19, Time: 0.610352, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 97, TimeBin=19, Time: 0.615234, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 98, TimeBin=19, Time: 0.620117, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 99, TimeBin=19, Time: 0.625, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 100, TimeBin=19, Time: 0.629883, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 101, TimeBin=19, Time: 0.634766, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 102, TimeBin=19, Time: 0.639648, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 103, TimeBin=19, Time: 0.644531, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 104, TimeBin=19, Time: 0.649414, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 105, TimeBin=19, Time: 0.654297, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 106, TimeBin=19, Time: 0.65918, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 107, TimeBin=19, Time: 0.664062, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 108, TimeBin=19, Time: 0.668945, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 109, TimeBin=19, Time: 0.673828, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 110, TimeBin=19, Time: 0.678711, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 111, TimeBin=19, Time: 0.683594, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 112, TimeBin=19, Time: 0.688477, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 113, TimeBin=19, Time: 0.693359, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 114, TimeBin=19, Time: 0.698242, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 115, TimeBin=19, Time: 0.703125, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 116, TimeBin=19, Time: 0.708008, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 117, TimeBin=19, Time: 0.712891, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 118, TimeBin=19, Time: 0.717773, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 119, TimeBin=19, Time: 0.722656, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 120, TimeBin=19, Time: 0.727539, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 121, TimeBin=19, Time: 0.732422, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 122, TimeBin=19, Time: 0.737305, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 123, TimeBin=19, Time: 0.742188, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 124, TimeBin=19, Time: 0.74707, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 125, TimeBin=19, Time: 0.751953, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 126, TimeBin=19, Time: 0.756836, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 127, TimeBin=19, Time: 0.761719, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 128, TimeBin=19, Time: 0.766602, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 129, TimeBin=19, Time: 0.771484, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 130, TimeBin=19, Time: 0.776367, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 131, TimeBin=19, Time: 0.78125, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 132, TimeBin=19, Time: 0.786133, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 133, TimeBin=19, Time: 0.791016, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 134, TimeBin=19, Time: 0.795898, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 135, TimeBin=19, Time: 0.800781, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 136, TimeBin=19, Time: 0.805664, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 137, TimeBin=19, Time: 0.810547, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 138, TimeBin=19, Time: 0.81543, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 139, TimeBin=19, Time: 0.820312, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 140, TimeBin=19, Time: 0.825195, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 141, TimeBin=19, Time: 0.830078, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 142, TimeBin=19, Time: 0.834961, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 143, TimeBin=19, Time: 0.839844, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 144, TimeBin=19, Time: 0.844727, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 145, TimeBin=19, Time: 0.849609, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 146, TimeBin=19, Time: 0.854492, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 147, TimeBin=19, Time: 0.859375, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 148, TimeBin=19, Time: 0.864258, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 149, TimeBin=19, Time: 0.869141, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 150, TimeBin=19, Time: 0.874023, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 151, TimeBin=19, Time: 0.878906, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 152, TimeBin=19, Time: 0.883789, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

