
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        256, Nsync-hyd:        256
Sync-Point 81, TimeBin=16, Time: 0.00153809, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 82, TimeBin=16, Time: 0.0015625, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 83, TimeBin=16, Time: 0.00158691, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 84, TimeBin=16, Time: 0.00161133, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 85, TimeBin=16, Time: 0.00163574, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 86, TimeBin=16, Time: 0.00166016, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 87, TimeBin=16, Time: 0.00168457, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 88, TimeBin=16, Time: 0.00170898, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 89, TimeBin=16, Time: 0.0017334, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 90, TimeBin=16, Time: 0.00175781, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 91, TimeBin=16, Time: 0.00178223, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 92, TimeBin=16, Time: 0.00180664, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 93, TimeBin=16, Time: 0.00183105, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 94, TimeBin=16, Time: 0.00185547, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 95, TimeBin=16, Time: 0.00187988, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 96, TimeBin=16, Time: 0.0019043, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 97, TimeBin=16, Time: 0.00192871, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 98, TimeBin=16, Time: 0.00195312, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 99, TimeBin=16, Time: 0.00197754, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 100, TimeBin=16, Time: 0.00200195, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 101, TimeBin=16, Time: 0.00202637, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 102, TimeBin=16, Time: 0.00205078, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 103, TimeBin=16, Time: 0.0020752, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 104, TimeBin=16, Time: 0.00209961, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 105, TimeBin=16, Time: 0.00212402, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 106, TimeBin=16, Time: 0.00214844, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 107, TimeBin=16, Time: 0.00217285, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 108, TimeBin=16, Time: 0.00219727, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 109, TimeBin=16, Time: 0.00222168, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 110, TimeBin=16, Time: 0.00224609, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 111, TimeBin=16, Time: 0.00227051, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 112, TimeBin=16, Time: 0.00229492, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 113, TimeBin=16, Time: 0.00231934, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 114, TimeBin=16, Time: 0.00234375, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 115, TimeBin=16, Time: 0.00236816, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 116, TimeBin=16, Time: 0.00239258, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 117, TimeBin=16, Time: 0.00241699, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 118, TimeBin=16, Time: 0.00244141, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 119, TimeBin=16, Time: 0.00246582, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 120, TimeBin=16, Time: 0.00249023, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 121, TimeBin=16, Time: 0.00251465, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 122, TimeBin=16, Time: 0.00253906, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 123, TimeBin=16, Time: 0.00256348, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 124, TimeBin=16, Time: 0.00258789, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 125, TimeBin=16, Time: 0.0026123, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 126, TimeBin=16, Time: 0.00263672, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 127, TimeBin=16, Time: 0.00266113, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 128, TimeBin=16, Time: 0.00268555, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 129, TimeBin=16, Time: 0.00270996, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 130, TimeBin=16, Time: 0.00273438, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 131, TimeBin=16, Time: 0.00275879, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 132, TimeBin=16, Time: 0.0027832, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 133, TimeBin=16, Time: 0.00280762, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 134, TimeBin=16, Time: 0.00283203, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 135, TimeBin=16, Time: 0.00285645, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 136, TimeBin=16, Time: 0.00288086, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 137, TimeBin=16, Time: 0.00290527, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 138, TimeBin=16, Time: 0.00292969, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 139, TimeBin=16, Time: 0.0029541, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 140, TimeBin=16, Time: 0.00297852, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 141, TimeBin=16, Time: 0.00300293, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 142, TimeBin=16, Time: 0.00302734, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 143, TimeBin=16, Time: 0.00305176, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 144, TimeBin=16, Time: 0.00307617, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 145, TimeBin=16, Time: 0.00310059, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 146, TimeBin=16, Time: 0.003125, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 147, TimeBin=16, Time: 0.00314941, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 148, TimeBin=16, Time: 0.00317383, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 149, TimeBin=16, Time: 0.00319824, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 150, TimeBin=16, Time: 0.00322266, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 151, TimeBin=16, Time: 0.00324707, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 152, TimeBin=16, Time: 0.00327148, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 153, TimeBin=16, Time: 0.0032959, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 154, TimeBin=16, Time: 0.00332031, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 155, TimeBin=16, Time: 0.00334473, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 156, TimeBin=16, Time: 0.00336914, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 157, TimeBin=16, Time: 0.00339355, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 158, TimeBin=16, Time: 0.00341797, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 159, TimeBin=16, Time: 0.00344238, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 160, TimeBin=16, Time: 0.0034668, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 161, TimeBin=16, Time: 0.00349121, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 162, TimeBin=16, Time: 0.00351563, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 163, TimeBin=16, Time: 0.00354004, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 164, TimeBin=16, Time: 0.00356445, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 165, TimeBin=16, Time: 0.00358887, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 166, TimeBin=16, Time: 0.00361328, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 167, TimeBin=16, Time: 0.0036377, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 168, TimeBin=16, Time: 0.00366211, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 169, TimeBin=16, Time: 0.00368652, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 170, TimeBin=16, Time: 0.00371094, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

