
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:      22500, Nsync-hyd:      22500
Sync-Point 91, TimeBin=19, Time: 0.212891, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        164

Sync-Point 92, TimeBin=18, Time: 0.213867, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         19

Sync-Point 93, TimeBin=20, Time: 0.214844, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        192

Sync-Point 94, TimeBin=18, Time: 0.21582, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         27

Sync-Point 95, TimeBin=19, Time: 0.216797, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        165

Sync-Point 96, TimeBin=18, Time: 0.217773, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         26

Sync-Point 97, TimeBin=23, Time: 0.21875, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        350

Sync-Point 98, TimeBin=18, Time: 0.219727, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         29

Sync-Point 99, TimeBin=19, Time: 0.220703, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        173

Sync-Point 100, TimeBin=18, Time: 0.22168, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         31

Sync-Point 101, TimeBin=20, Time: 0.222656, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        208

Sync-Point 102, TimeBin=18, Time: 0.223633, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         31

Sync-Point 103, TimeBin=19, Time: 0.224609, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        178

Sync-Point 104, TimeBin=18, Time: 0.225586, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         30

Sync-Point 105, TimeBin=21, Time: 0.226562, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        273

Sync-Point 106, TimeBin=18, Time: 0.227539, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         30

Sync-Point 107, TimeBin=19, Time: 0.228516, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        186

Sync-Point 108, TimeBin=18, Time: 0.229492, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         26

Sync-Point 109, TimeBin=20, Time: 0.230469, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        213

Sync-Point 110, TimeBin=18, Time: 0.231445, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         26

Sync-Point 111, TimeBin=19, Time: 0.232422, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        189

Sync-Point 112, TimeBin=18, Time: 0.233398, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         27

Sync-Point 113, TimeBin=22, Time: 0.234375, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        337

Sync-Point 114, TimeBin=18, Time: 0.235352, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         28

Sync-Point 115, TimeBin=19, Time: 0.236328, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        199

Sync-Point 116, TimeBin=18, Time: 0.237305, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         26

Sync-Point 117, TimeBin=20, Time: 0.238281, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        240

Sync-Point 118, TimeBin=18, Time: 0.239258, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         26

Sync-Point 119, TimeBin=19, Time: 0.240234, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        204

Sync-Point 120, TimeBin=18, Time: 0.241211, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 121, TimeBin=21, Time: 0.242188, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        300

Sync-Point 122, TimeBin=18, Time: 0.243164, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 123, TimeBin=19, Time: 0.244141, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        216

Sync-Point 124, TimeBin=18, Time: 0.245117, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         25

Sync-Point 125, TimeBin=20, Time: 0.246094, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        248

Sync-Point 126, TimeBin=18, Time: 0.24707, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         24

Sync-Point 127, TimeBin=19, Time: 0.248047, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        222

Sync-Point 128, TimeBin=18, Time: 0.249023, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 129, TimeBin=25, Time: 0.25, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:      22500

Sync-Point 130, TimeBin=18, Time: 0.250977, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 131, TimeBin=19, Time: 0.251953, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        230

Sync-Point 132, TimeBin=18, Time: 0.25293, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         15

Sync-Point 133, TimeBin=20, Time: 0.253906, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        260

Sync-Point 134, TimeBin=18, Time: 0.254883, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         17

Sync-Point 135, TimeBin=19, Time: 0.255859, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        235

